Symbol,From,To
ACAS,2000-01-01,2009-03-03
JNY,2000-01-01,2009-03-03
ABK,2000-12-05,2008-06-10
TRB,2000-01-01,2007-12-20
DJ,2000-01-01,2007-12-13
AV,2000-01-01,2007-10-25
KSE,2000-01-01,2007-08-24
TSG,2000-01-01,2007-03-30
SBL,2000-12-05,2007-01-10
GLK,2000-01-01,2005-07-01
QTRN,2000-01-01,2003-09-25
BS,2000-01-01,2000-12-05
OI,2000-01-01,2000-12-05
GRA,2000-01-01,2000-12-05
CCK,2000-01-01,2000-12-05
